Date : 2025-05-31 11:07:05
Directory : /home/ali/repos/Automation
Total : 153 files,  9072 codes, 347 comments, 1556 blanks, all 10975 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| Go               |        130 |      7,475 |        227 |      1,163 |      8,865 |
| HTTP             |         13 |        652 |        113 |        224 |        989 |
| Markdown         |          3 |        515 |          0 |        132 |        647 |
| Go Checksum File |          1 |        147 |          0 |          1 |        148 |
| MS SQL           |          2 |        146 |          0 |         16 |        162 |
| YAML             |          1 |         60 |          0 |          2 |         62 |
| Go Module File   |          1 |         49 |          0 |          4 |         53 |
| Makefile         |          1 |         22 |          7 |          8 |         37 |
| Docker           |          1 |          6 |          0 |          6 |         12 |
+------------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                         | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                            |        153 |      9,072 |        347 |      1,556 |     10,975 |
| . (Files)                                                                    |          6 |        683 |          7 |         77 |        767 |
| cmd                                                                          |          1 |         89 |          6 |          7 |        102 |
| cmd/mainservice                                                              |          1 |         89 |          6 |          7 |        102 |
| internal                                                                     |        127 |      7,354 |        194 |      1,207 |      8,755 |
| internal/api                                                                 |         17 |      2,385 |         21 |        188 |      2,594 |
| internal/api/api                                                             |         17 |      2,385 |         21 |        188 |      2,594 |
| internal/config                                                              |          1 |         48 |          0 |          6 |         54 |
| internal/core                                                                |        100 |      4,435 |        170 |        890 |      5,495 |
| internal/core/action                                                         |          3 |         88 |          2 |         21 |        111 |
| internal/core/actiontype                                                     |          4 |        128 |         13 |         28 |        169 |
| internal/core/admin                                                          |          4 |        275 |          8 |         52 |        335 |
| internal/core/audit                                                          |          1 |          4 |          0 |          2 |          6 |
| internal/core/bloodgroup                                                     |          4 |        145 |          4 |         30 |        179 |
| internal/core/contactinfo                                                    |          4 |        199 |          6 |         41 |        246 |
| internal/core/credentials                                                    |          4 |        285 |          6 |         56 |        347 |
| internal/core/education                                                      |          4 |        195 |          6 |         35 |        236 |
| internal/core/educationLevel                                                 |          4 |         86 |          1 |         28 |        115 |
| internal/core/familyinfo                                                     |          4 |        170 |          5 |         32 |        207 |
| internal/core/gender                                                         |          4 |        138 |         10 |         29 |        177 |
| internal/core/hospitaldispatch                                               |          4 |        157 |          5 |         40 |        202 |
| internal/core/hospitalvisit                                                  |          4 |        142 |          5 |         32 |        179 |
| internal/core/medicalprofile                                                 |          4 |        179 |          5 |         42 |        226 |
